Start Station Latitude,Start Station Longitude,StationExistedBefore,Start Station Name,Latitude (generated),Longitude (generated),AfterMinusBeforeTrips,AfterTimesTrips,BeforeTimesTrips
42.267902,-71.093641,TRUE,Mattapan T Stop,42.267902,-71.093641,272,755,483
42.27094707,-71.07337901,TRUE,Central Ave at River St,42.27094707,-71.07337901,701,754,53
42.27462067,-71.09372553,TRUE,Blue Hill Ave at Almont St,42.27462067,-71.09372553,93,245,152
42.27600499,-71.03924982,TRUE,BCBS Quincy,42.27600499,-71.03924982,-173,35,208
42.2771947,-71.06955614,TRUE,Washington St at Walsh Playground,42.2771947,-71.06955614,245,278,33
42.2773889,-71.09325,TRUE,Mattapan Library,42.2773889,-71.09325,128,262,134
42.27748444,-71.16341468,TRUE,Spring St at Powell St,42.27748444,-71.16341468,259,340,81
42.27881158,-71.11687703,TRUE,*,42.27881158,-71.11687703,223,322,99
42.28072514,-71.08617242,TRUE,Morton St T,42.28072514,-71.08617242,9,152,143
42.28072815,-71.13423757,TRUE,Washington St at Denton Terr,42.28072815,-71.13423757,197,322,125
42.28198628,-71.07147925,TRUE,Washington St at Fuller St,42.28198628,-71.07147925,221,271,50
42.28277901,-71.15728851,TRUE,Centre St at Parkway YMCA,42.28277901,-71.15728851,112,238,126
42.28297568,-71.05466698,TRUE,Gallivan Blvd at Adams St,42.28297568,-71.05466698,627,1175,548
42.28484472,-71.11874517,TRUE,Mt. Hope St at Hyde Park Ave,42.28484472,-71.11874517,305,373,68
42.2856944,-71.0641389,TRUE,Ashmont T Stop,42.2856944,-71.0641389,346,1077,731
42.286012,-71.090986,FALSE,Blue Hill Ave at Havelock St,42.286012,-71.090986,43,43,0
42.28621295,-71.07942931,TRUE,Thetford Ave at Norfolk St,42.28621295,-71.07942931,279,415,136
42.28630716,-71.12820532,TRUE,Roslindale Village - Washington St,42.28630716,-71.12820532,-141,527,668
42.28633199,-71.15344755,TRUE,Centre St at W. Roxbury Post Office,42.28633199,-71.15344755,190,324,134
42.2863459,-71.1367213,TRUE,Belgrade Ave at Walworth St,42.2863459,-71.1367213,72,539,467
42.287072,-71.127754,TRUE,Roslindale Village - South St,42.287072,-71.127754,-128,806,934
42.2873611,-71.071111,TRUE,Codman Square Library,42.2873611,-71.071111,-270,490,760
42.28887,-71.095003,FALSE,2 Hummingbird Lane at Olmsted Green,42.28887,-71.095003,15,15,0
42.290333,-71.071806,TRUE,Washington St at Talbot Ave,42.290333,-71.071806,-90,387,477
42.29118035,-71.11773666,TRUE,Northbourne Rd at Hyde Park Ave,42.29118035,-71.11773666,191,306,115
42.29167943,-71.05726346,TRUE,Adams St at Lonsdale St,42.29167943,-71.05726346,533,722,189
42.29175622,-71.0625918,TRUE,Dorchester Ave at King St,42.29175622,-71.0625918,-20,309,329
42.2920896,-71.07841156,FALSE,Park St at Norwell St,42.2920896,-71.07841156,37,37,0
42.29266593,-71.12119539,TRUE,Archdale Rd at Washington St,42.29266593,-71.12119539,-1,822,823
42.292917,-71.06575,TRUE,Shawmut T Stop,42.292917,-71.06575,302,837,535
42.2944167,-71.0783056,TRUE,Park St at Norwell St,42.2944167,-71.0783056,-24,51,75
42.29442579,-71.07821761,TRUE,Park St at Norwell St,42.29442579,-71.07821761,24,105,81
42.2945833,-71.087111,TRUE,Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,265,665,400
42.29606705,-71.116012,TRUE,Hyde Park Ave at Walk Hill St,42.29606705,-71.116012,710,923,213
42.29791808,-71.07271846,TRUE,Washington St at Bradlee St,42.29791808,-71.07271846,-13,0,13
42.29916498,-71.07345872,TRUE,Washington St at Bradlee St,42.29916498,-71.07345872,49,307,258
42.2996667,-71.0605833,TRUE,Fields Corner T Stop,42.2996667,-71.0605833,318,814,496
42.300664,-71.060295,TRUE,Fields Corner T Stop,42.300664,-71.060295,-390,172,562
42.300923,-71.114249,TRUE,Forest Hills,42.300923,-71.114249,3307,7209,3902
42.303469,-71.085347,TRUE,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,967,1690,723
42.30412793,-71.07929528,TRUE,Four Corners - 157 Washington St,42.30412793,-71.07929528,31,328,297
42.30604563,-71.11570891,TRUE,Jamaica St at South St,42.30604563,-71.11570891,817,1363,546
42.306539,-71.107669,TRUE,Williams St at Washington St,42.306539,-71.107669,141,2658,2517
42.30785224,-71.06512249,TRUE,Bowdoin St at Quincy St,42.30785224,-71.06512249,-545,842,1387
42.30791,-71.080952,TRUE,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,503,984,481
42.309054,-71.11543,TRUE,Curtis Hall - South St at Centre St,42.309054,-71.11543,-1301,2202,3503
42.309572,-71.0729,TRUE,Columbia Rd at Ceylon St,42.309572,-71.0729,-325,413,738
42.309796,-71.092225,TRUE,*,42.309796,-71.092225,497,1281,784
42.310579,-71.107341,TRUE,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,-1494,4115,5609
42.3106,-71.0539,TRUE,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,200,1571,1371
42.3121203,-71.1142981,TRUE,Centre St at Seaverns Ave,42.3121203,-71.1142981,-573,2552,3125
42.31218919,-71.03648586,TRUE,University of Massachusetts Boston - Campus Center,42.31218919,-71.03648586,-188,1541,1729
42.313917,-71.04025,TRUE,University of Massachusetts Boston - Integrated Sciences Complex,42.313917,-71.04025,-338,0,338
42.315692,-71.098634,TRUE,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,-104,1369,1473
42.316902,-71.091946,TRUE,NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,-137,888,1025
42.316966,-71.104374,TRUE,Stony Brook T Stop,42.316966,-71.104374,695,5741,5046
42.31727474,-71.06537004,TRUE,*,42.31727474,-71.06537004,-443,878,1321
42.317642,-71.056664,TRUE,Ryan Playground - Dorchester Ave at Harbor View St,42.317642,-71.056664,29,2404,2375
42.31786021,-71.07798629,TRUE,Blue Hill Ave at Southwood St,42.31786021,-71.07798629,-43,524,567
42.31787329,-71.08243078,TRUE,Roxbury YMCA - Warren St at MLK Blvd,42.31787329,-71.08243078,-166,1280,1446
42.31869734,-71.06978148,TRUE,*,42.31869734,-71.06978148,-592,548,1140
42.31886468,-71.04536798,TRUE,Geiger Gibson Community Health Center,42.31886468,-71.04536798,3363,3663,300
42.31930943,-71.09639924,TRUE,The Dimock Center,42.31930943,-71.09639924,462,842,380
42.32033974,-71.05118036,TRUE,JFK/UMass T Stop,42.32033974,-71.05118036,-753,2703,3456
42.32039374,-71.05355408,TRUE,Sydney St at Carson St,42.32039374,-71.05355408,532,1526,994
42.320561,-71.06198,TRUE,E Cottage St at Columbia Rd,42.320561,-71.06198,-60,2058,2118
42.32143814,-71.09126061,TRUE,MLK Blvd at Washington St,42.32143814,-71.09126061,-315,1644,1959
42.32176526,-71.10984161,TRUE,Hyde Square - Barbara St at Centre St,42.32176526,-71.10984161,-772,5323,6095
42.32293117,-71.10014141,TRUE,Jackson Square T Stop,42.32293117,-71.10014141,329,6715,6386
42.324081,-71.083235,TRUE,Walnut Ave at Warren St,42.324081,-71.083235,-230,609,839
42.324173,-71.10196,FALSE,Martha Eliot Health Center,42.324173,-71.10196,170,170,0
42.325333,-71.075354,TRUE,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354,6,1026,1020
42.32538436,-71.12177596,TRUE,High St at Cypress St,42.32538436,-71.12177596,682,1487,805
