After Times?,Start Station Latitude,Start Station Longitude,Start Station Name,Number of Trips
FALSE,42.35147849,-71.0441622,Mobile Temporary Station,3
FALSE,42.35967536,-71.10160055,Mobile Temporary Station,10
FALSE,42.29791808,-71.07271846,Washington St at Bradlee St,13
FALSE,42.34397625,-71.08598473,Mobile Temporary Station,27
FALSE,42.2771947,-71.06955614,Washington St at Walsh Playground,33
FALSE,42.28198628,-71.07147925,Washington St at Fuller St,50
FALSE,42.27094707,-71.07337901,Central Ave at River St,53
FALSE,42.28484472,-71.11874517,Mt. Hope St at Hyde Park Ave,68
FALSE,42.40914878,-71.04597684,Ferry St at Pleasantview Ave,68
FALSE,42.40985878,-71.06631868,Norman St at Kelvin St,71
FALSE,42.2944167,-71.0783056,Park St at Norwell St,75
FALSE,42.27748444,-71.16341468,Spring St at Powell St,81
FALSE,42.29442579,-71.07821761,Park St at Norwell St,81
FALSE,42.41480161,-71.0477256,Glendale Square (Ferry St at Broadway),89
FALSE,42.40581172,-71.06708851,Norman St at Kelvin St,90
FALSE,42.27881158,-71.11687703,*,99
FALSE,42.29118035,-71.11773666,Northbourne Rd at Hyde Park Ave,115
FALSE,42.28072815,-71.13423757,Washington St at Denton Terr,125
FALSE,42.28277901,-71.15728851,Centre St at Parkway YMCA,126
FALSE,42.2773889,-71.09325,Mattapan Library,134
FALSE,42.28633199,-71.15344755,Centre St at W. Roxbury Post Office,134
FALSE,42.28621295,-71.07942931,Thetford Ave at Norfolk St,136
FALSE,42.28072514,-71.08617242,Morton St T,143
FALSE,42.41427294,-71.04479656,Glendale Square (Ferry St at Broadway),144
FALSE,42.3740832,-71.03274185,Airport T Stop - Bremen St at Brooks St,145
FALSE,42.27462067,-71.09372553,Blue Hill Ave at Almont St,152
FALSE,42.37411262,-71.03277501,Airport T Stop - Bremen St at Brooks St,156
FALSE,42.41072714,-71.06266823,Main St at Beacon St,181
FALSE,42.29167943,-71.05726346,Adams St at Lonsdale St,189
FALSE,42.41143223,-71.06823265,7 Acre Park,192
FALSE,42.38240378,-71.03024304,Glendon St at Condor St,196
FALSE,42.41250451,-71.05842225,*,203
FALSE,42.27600499,-71.03924982,BCBS Quincy,208
FALSE,42.29606705,-71.116012,Hyde Park Ave at Walk Hill St,213
FALSE,42.36774122,-71.03335975,Maverick St at Massport Path,219
FALSE,42.40413,-71.0613,Main Street at Carter Street,227
FALSE,42.40615157,-71.06040745,Main Street at Carter Street,254
FALSE,42.35219035,-71.07600417,Clarendon St at Commonwealth Ave,256
FALSE,42.29916498,-71.07345872,Washington St at Bradlee St,258
FALSE,42.332799,-71.116205,Brookline Village - Pearl Street at MBTA,291
FALSE,42.40328057,-71.0476264,Chelsea St at Vine St,295
