,Number,Name,Latitude,Longitude,District,Public,Total docks
0,A32019,175 N Harvard St,42.363796,-71.129164,Boston,Yes,18
1,S32035,191 Beacon St,42.380323350454155,-71.10878612855231,Somerville,Yes,19
2,S32023,30 Dane St,42.38100143038053,-71.10402522613184,Somerville,Yes,15
3,M32026,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,Cambridge,Yes,23
4,M32054,699 Mt Auburn St,42.37500235137831,-71.14871613699506,Cambridge,Yes,25
5,B32060,700 Commonwealth Ave.,42.349609453330594,-71.10391523698127,Boston,Yes,12
6,M32060,700 Huron Ave,42.38078817291429,-71.15412890911101,Cambridge,Yes,19
7,M32064,75 Binney St,42.36550728505653,-71.0801375997653,Cambridge,Yes,19
8,M32058,84 Cambridgepark Dr,42.3936,-71.143941,Cambridge,Yes,25
9,C32065,Adams St at Lonsdale St,42.291679428741226,-71.05726346409938,Boston,Yes,19
10,A32032,Airport T Stop - Bremen St at Brooks St,42.37408320248276,-71.03274185079498,Boston,Yes,11
11,C32061,Albany St at E. Brookline St,42.33664795427071,-71.0689445958451,Boston,Yes,15
12,M32046,Alewife MBTA at Steel Place,42.395588457167094,-71.14260613918304,Cambridge,Yes,19
13,M32033,Alewife Station at Russell Field,42.396105,-71.139459,Cambridge,Yes,23
14,A32017,Allston Green District - Griggs St at Commonwealth Ave,42.34922469338298,-71.13275302578586,Boston,Yes,15
15,M32059,Ames St at Broadway,42.363692900000004,-71.0875672,Cambridge,Yes,19
16,M32037,Ames St at Main St,42.3625,-71.08821999999999,Cambridge,Yes,19
17,C32012,Andrew T Stop - Dorchester Ave at Dexter St,42.33047365041517,-71.05701684951781,Boston,Yes,15
18,B32004,Aquarium T Stop - 200 Atlantic Ave,42.35991176110118,-71.0514298081398,Boston,Yes,23
19,D32004,Arch St at Franklin St,42.35533501941256,-71.0582291708306,Boston,Yes,23
20,C32048,Archdale Rd at Washington St,42.29266592872725,-71.12119538714069,Boston,Yes,15
21,C32062,Ashmont T Stop,42.2856944,-71.0641389,Boston,Yes,15
22,S32018,Assembly Square T,42.39223284004628,-71.07746601104736,Somerville,Yes,15
23,A32003,B.U. Central - 725 Comm. Ave.,42.350406,-71.10827900000001,Boston,Yes,11
24,C32003,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,Boston,Yes,19
25,S32007,Ball Sq,42.399155887145724,-71.11102573591778,Somerville,Yes,15
26,B32055,Bartlett St at John Elliot Sq,42.3294633,-71.0901582,Boston,Yes,15
27,D32024,Beacon St at Charles St,42.356052000000005,-71.069849,Boston,Yes,15
28,B32016,Beacon St at Massachusetts Ave,42.350826806690954,-71.0898108780384,Boston,Yes,19
29,K32002,Beacon St at Tappan St,42.33826680058037,-71.13894682028331,Brookline,Yes,15
30,S32003,Beacon St at Washington / Kirkland,42.37842,-71.10566800000001,Somerville,Yes,19
31,C32059,Belgrade Ave at Walworth St,42.28634589486312,-71.13672129828045,Boston,Yes,15
32,A32028,Bennington St at Byron St,42.383532520117896,-71.01619094610214,Boston,Yes,15
33,A32039,Bennington St at Constitution Beach,42.385223935870535,-71.01063068965232,Boston,Yes,17
34,M32067,Berkshire Street at Cambridge Street,42.37207657915397,-71.08995433905875,Cambridge,Yes,19
35,B32058,Big Papi Station,42.347344731774314,-71.10016807950159,Boston,Yes,19
36,M32027,Binney St / Sixth St,42.36608797388682,-71.08633603909766,Cambridge,Yes,19
37,D32050,Blossom St at Charles St,42.364355890279825,-71.0695936904267,Boston,Yes,15
38,C32044,Blue Hill Ave at Almont St,42.274620671812244,-71.09372552493369,Boston,Yes,19
39,B32057,Blue Hill Ave at Southwood St,42.31786020589988,-71.07798628527235,Boston,Yes,15
40,B32008,Boston City Hall - 28 State St,42.35892,-71.057629,Boston,Yes,21
41,D32018,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.347763454147454,-71.04535996913908,Boston,Yes,23
42,A32036,Boston East - 126 Border St,42.373312125824704,-71.0410200806291,Boston,Yes,15
43,A32045,Boston Landing,42.356560923089404,-71.14167537549292,Boston,Yes,17
44,C32002,Boston Medical Center - E Concord St at Harrison Ave,42.336399153724976,-71.07306711393903,Boston,Yes,19
45,D32044,Boston Public Market,42.36254854409333,-71.05737358331679,Boston,Yes,15
46,B32031,Bowdoin St at Quincy St,42.30785224238503,-71.06512248516083,Boston,Yes,15
47,D32007,Boylston St at Arlington St,42.35258779507021,-71.06764905172895,Boston,Yes,23
48,D32013,Boylston St at Berkeley St,42.351141982547496,-71.07329249382019,Boston,Yes,0
49,D32027,Boylston St at Dartmouth St,42.350413,-71.07655,Boston,Yes,15
50,D32046,Boylston St at Exeter St,42.34958942368245,-71.07946779173291,Boston,Yes,19
51,C32008,Boylston St at Fairfield St,42.348762,-71.082383,Boston,Yes,19
52,B32034,Boylston St at Jersey St,42.34465062887831,-71.09732501226972,Boston,Yes,15
53,B32018,Boylston St at Massachusetts Ave,42.347265,-71.088088,Boston,Yes,15
54,B32013,Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,Boston,Yes,15
55,D32028,Brighton Center - Washington St at Cambridge St,42.34894857235593,-71.15027189254761,Boston,Yes,17
56,A32005,Brighton Mills - 370 Western Ave,42.3615457081725,-71.13776206970216,Boston,Yes,15
57,V32011,Broadway at Beacham St,42.39836059620832,-71.06373842814719,Everett,Yes,15
58,S32016,Broadway at Central St,42.39517150121575,-71.09850591982195,Somerville,Yes,15
59,V32004,Broadway at Lynde St,42.39648358247693,-71.06546759905541,Everett,Yes,15
60,V32008,Broadway at Maple St,42.41034690976785,-71.05260457852637,Everett,Yes,14
61,S32014,Broadway St at Mt Pleasant St,42.38614141163957,-71.07828140258789,Somerville,Yes,19
62,C32053,Broadway T Stop,42.34278116224414,-71.05747275072645,Boston,Yes,15
63,K32005,Brookline Town Hall,42.33376472623494,-71.12046446660315,Brookline,Yes,15
64,K32003,Brookline Village - Station Street at MBTA,42.332998919950704,-71.11634425762531,Brookline,Yes,15
65,A32023,Bunker Hill Community College,42.37408991426522,-71.06905996799469,Boston,Yes,23
66,B32020,Burlington Ave at Brookline Ave,42.345733,-71.10069399999999,Boston,Yes,15
67,M32052,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,Cambridge,Yes,19
68,M32013,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,Cambridge,Yes,19
69,M32007,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,Cambridge,Yes,15
70,D32000,Cambridge St at Joy St,42.361211653079856,-71.06530619789737,Boston,Yes,15
71,M32019,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,Cambridge,Yes,15
72,C32088,Central Ave at River St,42.27094707029229,-71.07337901405117,Boston,Yes,15
73,M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426000000004,-71.10549499999999,Cambridge,Yes,17
