Week of Starttime,Median Tripduration
3-Mar-19,550
9-Feb-20,555
24-Feb-19,566
2-Feb-20,568
16-Feb-20,570
15-Dec-19,572
1-Dec-19,582
19-Jan-20,585
8-Dec-19,587
26-Jan-20,590
12-Jan-20,601
27-Oct-19,602
1-Mar-20,604
29-Dec-19,604.5
10-Mar-19,605
17-Mar-19,608
24-Jan-21,608
23-Feb-20,610
5-Jan-20,620
14-Feb-21,621
6-Oct-19,624
7-Feb-21,627
28-Feb-21,634
22-Dec-19,644
6-Dec-20,648
21-Feb-21,649
28-Apr-19,651
29-Sep-19,660
25-Oct-20,663
31-Jan-21,664
20-Oct-19,676
17-Jan-21,676
3-Jan-21,677
31-Mar-19,680
10-Jan-21,682
21-Apr-19,684
29-Nov-20,695
13-Oct-19,700
8-Mar-20,700
8-Sep-19,704
22-Sep-19,706
24-Mar-19,707
12-May-19,709
7-Apr-19,713
15-Nov-20,713
5-May-19,715
15-Sep-19,726
14-Mar-21,726
28-Mar-21,726
14-Apr-19,727
20-Dec-20,727
13-Dec-20,732
22-Nov-20,733
7-Mar-21,747
1-Nov-20,748
1-Sep-19,753
25-Aug-19,756
8-Nov-20,758
18-Oct-20,759
18-Aug-19,760
19-May-19,761
11-Oct-20,765
27-Dec-20,765
16-Jun-19,768
14-Jul-19,770
28-Jul-19,771
27-Sep-20,781
11-Aug-19,786
21-Jul-19,791
4-Oct-20,791
4-Aug-19,793
7-Jul-19,800
23-Jun-19,802
20-Sep-20,807
2-Jun-19,808
13-Sep-20,817
26-May-19,825
9-Jun-19,826
23-Aug-20,856
30-Jun-19,867
21-Mar-21,872
15-Mar-20,887
16-Aug-20,890
30-Aug-20,896
29-Mar-20,896.5
9-Aug-20,905
6-Sep-20,907
2-Aug-20,919
26-Jul-20,929
19-Jul-20,932
12-Jul-20,954
5-Jul-20,987
21-Jun-20,997
28-Jun-20,"1,019"
22-Mar-20,"1,061"
14-Jun-20,"1,071"
12-Apr-20,"1,081.50"
7-Jun-20,"1,118"
26-Apr-20,"1,140"
5-Apr-20,"1,149"
31-May-20,"1,194"
3-May-20,"1,204"
17-May-20,"1,205"
19-Apr-20,"1,213"
10-May-20,"1,217"
24-May-20,"1,268"
