Month of Starttime,Hour of Starttime,NumTrips
Mar-19,0,725
Mar-19,1,518
Mar-19,2,306
Mar-19,3,103
Mar-19,4,105
Mar-19,5,496
Mar-19,6,1641
Mar-19,7,4931
Mar-19,8,10208
Mar-19,9,6462
Mar-19,10,4304
Mar-19,11,4674
Mar-19,12,5275
Mar-19,13,5295
Mar-19,14,5196
Mar-19,15,5869
Mar-19,16,9288
Mar-19,17,12770
Mar-19,18,8992
Mar-19,19,5664
Mar-19,20,3780
Mar-19,21,2769
Mar-19,22,1871
Mar-19,23,1127
Apr-19,0,1027
Apr-19,1,772
Apr-19,2,441
Apr-19,3,219
Apr-19,4,175
Apr-19,5,739
Apr-19,6,2568
Apr-19,7,7372
Apr-19,8,14396
Apr-19,9,9398
Apr-19,10,6902
Apr-19,11,7879
Apr-19,12,9174
Apr-19,13,9710
Apr-19,14,9593
Apr-19,15,10792
Apr-19,16,15339
Apr-19,17,20413
Apr-19,18,14660
Apr-19,19,9538
Apr-19,20,6032
Apr-19,21,4375
Apr-19,22,3325
Apr-19,23,1855
May-19,0,1652
May-19,1,1119
May-19,2,766
May-19,3,243
May-19,4,280
May-19,5,1134
May-19,6,4442
May-19,7,11772
May-19,8,19981
May-19,9,12018
May-19,10,9075
May-19,11,10323
May-19,12,11935
May-19,13,11895
May-19,14,12056
May-19,15,13777
May-19,16,19102
May-19,17,25886
May-19,18,19085
May-19,19,13782
May-19,20,8692
May-19,21,6180
May-19,22,4692
May-19,23,3197
Jun-19,0,2370
Jun-19,1,1741
Jun-19,2,1031
Jun-19,3,365
Jun-19,4,355
Jun-19,5,1610
Jun-19,6,4972
Jun-19,7,13053
Jun-19,8,22994
Jun-19,9,14475
Jun-19,10,10613
Jun-19,11,12066
Jun-19,12,14287
Jun-19,13,14395
Jun-19,14,14158
Jun-19,15,15497
Jun-19,16,22682
Jun-19,17,31501
Jun-19,18,25036
Jun-19,19,18473
Jun-19,20,12789
Jun-19,21,8840
Jun-19,22,6480
Jun-19,23,4300
Jul-19,0,2904
Jul-19,1,1894
Jul-19,2,1220
Jul-19,3,394
Jul-19,4,460
Jul-19,5,2137
Jul-19,6,6111
Jul-19,7,15641
Jul-19,8,26486
Jul-19,9,16294
Jul-19,10,12070
Jul-19,11,13394
Jul-19,12,16036
Jul-19,13,15534
Jul-19,14,16022
Jul-19,15,18232
Jul-19,16,25891
Jul-19,17,35468
Jul-19,18,27703
Jul-19,19,21383
Jul-19,20,16329
Jul-19,21,11189
Jul-19,22,8444
Jul-19,23,5792
Aug-19,0,2833
Aug-19,1,1876
Aug-19,2,1268
Aug-19,3,426
Aug-19,4,536
Aug-19,5,2127
Aug-19,6,6581
Aug-19,7,17229
Aug-19,8,28857
Aug-19,9,17835
Aug-19,10,13391
Aug-19,11,14904
Aug-19,12,17586
Aug-19,13,17504
Aug-19,14,17684
Aug-19,15,20378
Aug-19,16,27841
Aug-19,17,36508
Aug-19,18,30147
Aug-19,19,22479
Aug-19,20,15265
Aug-19,21,11346
Aug-19,22,8003
Aug-19,23,4915
Sep-19,0,2974
Sep-19,1,2212
Sep-19,2,1200
Sep-19,3,395
Sep-19,4,443
Sep-19,5,2060
Sep-19,6,6917
Sep-19,7,19342
Sep-19,8,30397
Sep-19,9,18893
Sep-19,10,15063
Sep-19,11,17305
Sep-19,12,20198
Sep-19,13,19854
Sep-19,14,19756
Sep-19,15,22620
Sep-19,16,32270
Sep-19,17,40860
Sep-19,18,31798
Sep-19,19,20608
Sep-19,20,14082
Sep-19,21,11001
Sep-19,22,7973
Sep-19,23,4964
Oct-19,0,2459
Oct-19,1,1727
Oct-19,2,1028
Oct-19,3,376
Oct-19,4,435
Oct-19,5,1985
Oct-19,6,5492
Oct-19,7,16610
Oct-19,8,30157
Oct-19,9,18024
Oct-19,10,13003
Oct-19,11,14206
Oct-19,12,15942
Oct-19,13,15871
Oct-19,14,16020
Oct-19,15,18615
Oct-19,16,26958
Oct-19,17,35564
Oct-19,18,24812
Oct-19,19,16055
Oct-19,20,11419
Oct-19,21,8603
Oct-19,22,6263
Oct-19,23,3880
Nov-19,0,1753
Nov-19,1,1215
Nov-19,2,764
Nov-19,3,271
Nov-19,4,284
Nov-19,5,1228
Nov-19,6,3854
Nov-19,7,11358
Nov-19,8,20743
Nov-19,9,12388
Nov-19,10,8924
Nov-19,11,9734
Nov-19,12,10384
Nov-19,13,10351
Nov-19,14,10223
Nov-19,15,11573
Nov-19,16,15450
Nov-19,17,18245
Nov-19,18,13688
Nov-19,19,9516
Nov-19,20,6634
Nov-19,21,5568
Nov-19,22,4028
Nov-19,23,2583
Dec-19,0,817
Dec-19,1,576
Dec-19,2,358
Dec-19,3,159
Dec-19,4,163
Dec-19,5,668
Dec-19,6,1651
Dec-19,7,4430
Dec-19,8,8893
Dec-19,9,5907
Dec-19,10,4193
Dec-19,11,4754
Dec-19,12,5432
Dec-19,13,5268
Dec-19,14,5200
Dec-19,15,5948
Dec-19,16,7745
Dec-19,17,9356
Dec-19,18,6821
Dec-19,19,4779
Dec-19,20,3352
Dec-19,21,2580
Dec-19,22,1942
Dec-19,23,1216
Jan-20,0,798
Jan-20,1,606
Jan-20,2,348
Jan-20,3,132
Jan-20,4,153
Jan-20,5,839
Jan-20,6,2829
Jan-20,7,7577
Jan-20,8,14458
Jan-20,9,8560
Jan-20,10,5197
Jan-20,11,5627
Jan-20,12,6555
Jan-20,13,6531
Jan-20,14,6742
Jan-20,15,7853
Jan-20,16,11676
Jan-20,17,14506
Jan-20,18,9970
Jan-20,19,6715
Jan-20,20,4365
Jan-20,21,3198
Jan-20,22,2152
Jan-20,23,1211
Feb-20,0,909
Feb-20,1,703
Feb-20,2,361
Feb-20,3,166
Feb-20,4,172
Feb-20,5,720
Feb-20,6,2586
Feb-20,7,7180
Feb-20,8,13225
Feb-20,9,8992
Feb-20,10,5735
Feb-20,11,6098
Feb-20,12,6710
Feb-20,13,6669
Feb-20,14,6878
Feb-20,15,7760
Feb-20,16,11912
Feb-20,17,15314
Feb-20,18,10797
Feb-20,19,7396
Feb-20,20,5238
Feb-20,21,3688
Feb-20,22,2583
Feb-20,23,1443
Mar-20,0,678
Mar-20,1,416
Mar-20,2,225
Mar-20,3,154
Mar-20,4,129
Mar-20,5,487
Mar-20,6,1942
Mar-20,7,5295
Mar-20,8,9478
Mar-20,9,5683
Mar-20,10,4054
Mar-20,11,4769
Mar-20,12,5887
Mar-20,13,6351
Mar-20,14,6703
Mar-20,15,7682
Mar-20,16,10363
Mar-20,17,12912
Mar-20,18,9488
Mar-20,19,5745
Mar-20,20,3702
Mar-20,21,2539
Mar-20,22,1663
Mar-20,23,1005
Apr-20,0,209
Apr-20,1,120
Apr-20,2,71
Apr-20,3,47
Apr-20,4,66
Apr-20,5,231
Apr-20,6,871
Apr-20,7,1206
Apr-20,8,1379
Apr-20,9,1552
Apr-20,10,1825
Apr-20,11,2547
